Account ID,Account Name,Account Timezone,Campaign ID,Customer ID,Device Type,Last Updated Date Time,Parent Platform,Platform,Vendor Client ID,Report Date,100% Completion Rate,25% Completion Rate,50% Completion Rate,75% Completion Rate,Average Viewable Time (s),Gross Impressions,IVT Impressions,IVT Impressions Rate,Measurability Rate,Measurable Impressions,Viewability Rate,Viewable Impressions
6117086388,SoftBank Corp.(LINEMO_cognition),Asia/Tokyo,23064153986,246007050,Mobile App,2026-01-22 13:25:20,youtube,google_ads,b8db74a2c6237da8dca2b509ce2f177ayszlhfm,2026-01-19,0,0,0,0,2.155433287483,0,0,0,1,1851,0.392761,727
6117086388,SoftBank Corp.(LINEMO_cognition),Asia/Tokyo,23064153986,246007050,Mobile App,2026-01-07 18:14:18,youtube,google_ads,b8db74a2c6237da8dca2b509ce2f177ayszlhfm,2026-01-05,0,0,0,0,1.569316081331,0,0,0,1,1300,0.416154,541
6117086388,SoftBank Corp.(LINEMO_cognition),Asia/Tokyo,23064153986,246007050,Mobile App,2026-01-05 02:20:56,youtube,google_ads,b8db74a2c6237da8dca2b509ce2f177ayszlhfm,2026-01-02,0,0,0,0,2.151785714286,0,0,0,1,1840,0.426087,784
6117086388,SoftBank Corp.(LINEMO_cognition),Asia/Tokyo,23064153986,246007050,Mobile App,2026-01-23 06:38:30,youtube,google_ads,b8db74a2c6237da8dca2b509ce2f177ayszlhfm,2026-01-21,0,0,0,0,2.511627906977,0,0,0,1,1486,0.405114,602
6117086388,SoftBank Corp.(LINEMO_cognition),Asia/Tokyo,23064153986,246007050,Mobile App,2026-01-16 05:50:10,youtube,google_ads,b8db74a2c6237da8dca2b509ce2f177ayszlhfm,2026-01-13,0,0,0,0,2.042471042471,0,0,0,1,540,0.47963,259
6117086388,SoftBank Corp.(LINEMO_cognition),Asia/Tokyo,23064153986,246007050,Mobile App,2026-01-05 02:20:56,youtube,google_ads,b8db74a2c6237da8dca2b509ce2f177ayszlhfm,2026-01-03,0,0,0,0,1.457373271889,0,0,0,1,2213,0.392228,868
6117086388,SoftBank Corp.(LINEMO_cognition),Asia/Tokyo,23064153986,246007050,Mobile App,2026-01-11 04:02:46,youtube,google_ads,b8db74a2c6237da8dca2b509ce2f177ayszlhfm,2026-01-08,0,0,0,0,2.704103671706,0,0,0,1,1043,0.443912,463
6117086388,SoftBank Corp.(LINEMO_cognition),Asia/Tokyo,23064153986,246007050,Mobile App,2026-01-12 02:20:12,youtube,google_ads,b8db74a2c6237da8dca2b509ce2f177ayszlhfm,2026-01-09,0,0,0,0,2.585492227979,0,0,0,1,849,0.454653,386
6117086388,SoftBank Corp.(LINEMO_cognition),Asia/Tokyo,23064153986,246007050,Mobile App,2026-01-07 18:14:18,youtube,google_ads,b8db74a2c6237da8dca2b509ce2f177ayszlhfm,2026-01-04,0,0,0,0,1.131059245961,0,0,0,1,1384,0.402457,557
6117086388,SoftBank Corp.(LINEMO_cognition),Asia/Tokyo,23064153986,246007050,Mobile App,2026-01-10 03:09:15,youtube,google_ads,b8db74a2c6237da8dca2b509ce2f177ayszlhfm,2026-01-07,0,0,0,0,1.371278458844,0,0,0,1,1355,0.421402,571
